ID,Vacancy_name,Salary,Experience,Company_name,Location
109,Маркетолог,,Опыт 1-3 года,ТОО PROFUSION PROJECTS,Алматы
110,Маркетолог,250 000 – 300 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Smart Level,Астана
111,Маркетолог,от 200 000 ₸ на руки,Без опыта,ИП HR Компания «CHANGE» (ИП Куприянова),Астана
112,Маркетолог,до 250 000 ₸ до вычета налогов,Опыт 1-3 года,"ИП World-Class, ТМ (ИП Игнатенко)",Атырау
113,SMM маркетолог/Ассистент маркетолога,150 000 – 150 000 ₸ на руки,Без опыта,ТОО Best Food Astana,Косшы
114,Контент-маркетолог,200 000 – 500 000 ₸ на руки,Опыт 1-3 года,ИП MND group,Астана
115,Маркетолог,до 600 000 ₸ на руки,Опыт 1-3 года,ТОО Verona oro,Шымкент
116,Маркетолог,250 000 – 300 000 ₸ на руки,Без опыта,ИП Sulu,Алматы
117,Маркетолог,до 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Идеал Трейд Маркет,Атырау
118,Маркетолог,200 000 – 200 000 ₸ на руки,Опыт 1-3 года,"ТОО БАТЫР-Павлодар, ТОО",Павлодар
119,SMM-менеджер (работа в офисе),до 300 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Net Light Lab,Алматы
120,Маркетолог,275 000 – 300 000 ₸ на руки,Опыт 1-3 года,ТОО Сантехпром,Караганда
121,Маркетолог,до 400 000 ₸ на руки,Опыт 1-3 года,Автотрейд,Астана
122,Маркетолог,400 000 – 1 000 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Частная Школа Пифагор,Алматы
123,Маркетолог,от 200 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Региональный диагностический центр,Алматы
124,Маркетолог,300 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО Образовательный центр TODAY,Астана
125,Ведущий специалист по маркетингу и рекламе,,Опыт 1-3 года,ТОО KARLSKRONA LC AB,Шымкент
126,Маркетолог,от 350 000 ₸ на руки,Опыт 1-3 года,ТОО Alip Pharm,Кокшетау
127,Маркетолог,от 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Skill Hub,Астана
128,Маркетолог,350 000 – 400 000 ₸ на руки,Опыт 1-3 года,АО Группа компаний Аллюр,Астана
129,Помощник маркетолога,200 000 – 200 000 ₸ на руки,Опыт 1-3 года,"ТОО Marrone Rosso, ТМ ( ТОО DAND M INVESTMENTS)",Алматы
130,Маркетолог,,Опыт 3-6 лет,Сеть отелей КАЗЖОЛ (ТОО МАК-СЕРВИС ЛТД),Алматы
131,Маркетолог,200 000 – 250 000 ₸ на руки,Опыт 1-3 года,ТОО Кристалл Авто,Жезказган
132,Помощник маркетолога,,Без опыта,ТОО АЗИЯ-СМ,Караганда
133,Маркетолог,400 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО Центр электронной коммерции,Астана
134,Маркетолог,600 000 – 700 000 ₸ на руки,Опыт 3-6 лет,ТОО Экспо-Дизайн,Алматы
135,Интернет-маркетолог,270 000 – 351 000 ₸ до вычета налогов,Без опыта,ТОО Людмила-KZ TM Аян,Караганда
136,"Маркетолог, г. Уральск",от 340 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Урал-Кров-Авто Плюс,Уральск
137,Маркетолог,,Опыт 1-3 года,ТОО Puls Systems,Шымкент
138,Маркетолог,,Опыт 1-3 года,ТОО Альфа-КТ,Алматы
139,Маркетолог в ресторанную группу*,от 500 000 ₸ на руки,Опыт 3-6 лет,ИП Роман,Астана
140,Маркетолог масс-маркета,450 000 – 450 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Французский Дом BSB,Алматы
141,Маркетолог (Маркетинговый аналитик),от 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Horizon INC,Астана
142,Маркетолог,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО IL-TOV (ИЛ-ТОВ),Алматы
143,Маркетолог,до 400 000 ₸ на руки,Опыт 1-3 года,ТОО Гостиница Медео,Костанай
144,Маркетолог,,Опыт 1-3 года,ТОО JD GROUP,Алматы
145,Маркетолог / SMM,200 000 – 800 000 ₸ на руки,Опыт более 6 лет,Булытбай Айбек,Шымкент
146,"Маркетолог в Компанию ""Автоцентр- MG Бахус""",250 000 – 250 000 ₸ на руки,Опыт 1-3 года,ТОО Автоцентр Бахус,Караганда
147,Маркетолог,120 000 – 270 000 ₸ на руки,Опыт 1-3 года,ИП Керимова,Балхаш
148,Маркетолог-аналитик,,Опыт 3-6 лет,ТОО Atasu Logistics,Алматы
149,Digital маркетолог,от 250 000 ₸ на руки,Без опыта,ТОО Etalon Group,Астана
150,Маркетолог F&B/Ресторанный маркетолог,,Опыт 1-3 года,ТОО Oi-Qaragai,Алматы
151,Маркетолог,,Опыт 1-3 года,ТОО Smart Solutions Personnel,Алматы
